"Mineral Name","Mineral Name (plain)","Country of Type Locality"
"Hafnon","Hafnon","Mozambique"
"Hagendorfite","Hagendorfite","Germany"
"Haggertyite","Haggertyite","USA"
"Häggite","Haggite","USA"
"Hagstromite","Hagstromite","USA"
"Haidingerite","Haidingerite","Czech Republic"
"Haigerachite","Haigerachite","Germany"
"Haineaultite","Haineaultite","Canada"
"Hainite-(Y)","Hainite-(Y)","Czech Republic"
"Haitaite-(La)","Haitaite-(La)","China"
"Haiweeite","Haiweeite","USA"
"Hakite-(Cd)","Hakite-(Cd)","Czech Republic"
"Hakite-(Fe)","Hakite-(Fe)","Czech Republic"
"Hakite-(Hg)","Hakite-(Hg)","Czech Republic"
"Hakite-(Zn)","Hakite-(Zn)","Czech Republic"
"Halamishite","Halamishite","Israel"
"Håleniusite-(Ce)","Haleniusite-(Ce)","Portugal"
"Håleniusite-(La)","Haleniusite-(La)","Sweden"
"Halilsarpite","Halilsarpite","Morocco"
"Halite","Halite","unknown"
"Hallimondite","Hallimondite","Germany"
"Halloysite","Halloysite","Belgium"
"Halotrichite","Halotrichite","unknown"
"Halurgite","Halurgite","Kazakhstan"
"Hambergite","Hambergite","Norway"
"Hammarite","Hammarite","Sweden"
"Hanahanite","Hanahanite","USA"
"Hanauerite","Hanauerite","Germany"
"Hanawaltite","Hanawaltite","USA"
"Hancockite","Hancockite","USA"
"Hanjiangite","Hanjiangite","China"
"Hanksite","Hanksite","USA"
"Hannayite","Hannayite","Australia"
"Hannebachite","Hannebachite","Germany"
"Hansblockite","Hansblockite","Bolivia"
"Hansesmarkite","Hansesmarkite","Norway"
"Hanswilkeite","Hanswilkeite","Israel"
"Hapkeite","Hapkeite","Oman"
"Haradaite","Haradaite","Japan"
"Hardystonite","Hardystonite","USA"
"Harkerite","Harkerite","United Kingdom"
"Harmotome","Harmotome","Germany"
"Harmunite","Harmunite","Palestine"
"Harrisonite","Harrisonite","Canada"
"Harstigite","Harstigite","Sweden"
"Hasanovite","Hasanovite","Tajikistan"
"Hashemite","Hashemite","Jordan"
"Hastingsite","Hastingsite","Canada"
"Hatchite","Hatchite","Switzerland"
"Hatertite","Hatertite","Russia"
"Hatrurite","Hatrurite","Israel"
"Hauchecornite","Hauchecornite","Germany"
"Hauckite","Hauckite","USA"
"Hauerite","Hauerite","Slovakia"
"Hausmannite","Hausmannite","Germany"
"Haüyne","Hauyne","Italy"
"Hawleyite","Hawleyite","Canada"
"Hawthorneite","Hawthorneite","South Africa"
"Haxonite","Haxonite","Mexico (meteorite) / USA (meteorite)"
"Haycockite","Haycockite","South Africa"
"Haydeeite","Haydeeite","Chile"
"Hayelasdiite","Hayelasdiite","USA"
"Haynesite","Haynesite","USA"
"Haywoodite","Haywoodite","USA"
"Hayyanite","Hayyanite","Iran"
"Hazenite","Hazenite","USA"
"Heamanite-(Ce)","Heamanite-(Ce)","Canada"
"Heazlewoodite","Heazlewoodite","Australia"
"Hechtsbergite","Hechtsbergite","Germany"
"Hectorfloresite","Hectorfloresite","Chile"
"Hectorite","Hectorite","USA"
"Hedegaardite","Hedegaardite","Chile"
"Hedenbergite","Hedenbergite","Sweden"
"Hedleyite","Hedleyite","Canada"
"Hedyphane","Hedyphane","Sweden"
"Heflikite","Heflikite","Poland"
"Heftetjernite","Heftetjernite","Norway"
"Heideite","Heideite","India (meteorite)"
"Heidornite","Heidornite","Germany"
"Heimite","Heimite","Switzerland"
"Heinrichite","Heinrichite","USA / Germany"
"Heisenbergite","Heisenbergite","Germany"
"Hejtmanite","Hejtmanite","Zambia"
"Heklaite","Heklaite","Iceland"
"Hellandite-(Ce)","Hellandite-(Ce)","Italy"
"Hellandite-(Y)","Hellandite-(Y)","Norway"
"Hellyerite","Hellyerite","Australia"
"Helmutwinklerite","Helmutwinklerite","Namibia"
"Helvine","Helvine","Germany"
"Hematite","Hematite","unknown"
"Hematolite","Hematolite","Sweden"
"Hematophanite","Hematophanite","Sweden"
"Hemihedrite","Hemihedrite","USA"
"Hemimorphite","Hemimorphite","Romania"
"Hemleyite","Hemleyite","China"
"Hemloite","Hemloite","Canada"
"Hemusite","Hemusite","Bulgaria"
"Hendekasartorite","Hendekasartorite","Switzerland"
"Hendersonite","Hendersonite","USA"
"Hendricksite","Hendricksite","USA"
"Heneuite","Heneuite","Norway"
"Henmilite","Henmilite","Japan"
"Hennomartinite","Hennomartinite","South Africa"
"Henritermierite","Henritermierite","Morocco"
"Henryite","Henryite","USA"
"Henrymeyerite","Henrymeyerite","Russia"
"Hentschelite","Hentschelite","Germany"
"Hephaistosite","Hephaistosite","Italy"
"Heptasartorite","Heptasartorite","Switzerland"
"Herbertsmithite","Herbertsmithite","Chile"
"Hercynite","Hercynite","Czech Republic"
"Herderite","Herderite","Germany"
"Hereroite","Hereroite","Namibia"
"Hermannjahnite","Hermannjahnite","Russia"
"Hermannroseite","Hermannroseite","Namibia"
"Herzenbergite","Herzenbergite","Bolivia"
"Hessite","Hessite","Kazakhstan"
"Hetaerolite","Hetaerolite","USA"
"Heterogenite","Heterogenite","Germany"
"Heteromorphite","Heteromorphite","Germany"
"Heterosite","Heterosite","France"
"Heulandite-Ba","Heulandite-Ba","Norway"
"Heulandite-Ca","Heulandite-Ca","United Kingdom"
"Heulandite-K","Heulandite-K","Italy"
"Heulandite-Na","Heulandite-Na","USA"
"Heulandite-Sr","Heulandite-Sr","Italy"
"Hewettite","Hewettite","Peru"
"Hexacelsian","Hexacelsian","Israel"
"Hexaferrum","Hexaferrum","Russia"
"Hexahydrite","Hexahydrite","Canada"
"Hexahydroborite","Hexahydroborite","Russia"
"Hexamolybdenum","Hexamolybdenum","Mexico (meteorite)"
"Hexathioplumbite","Hexathioplumbite","USA"
"Heyerdahlite","Heyerdahlite","Norway"
"Heyite","Heyite","USA"
"Heyrovskýite","Heyrovskyite","Czech Republic"
"Hezuolinite","Hezuolinite","China"
"Hiärneite","Hiarneite","Sweden"
"Hibbingite","Hibbingite","USA"
"Hibonite","Hibonite","Madagascar"
"Hidalgoite","Hidalgoite","Mexico"
"Hielscherite","Hielscherite","Germany"
"Hieratite","Hieratite","Italy"
"Hilairite","Hilairite","Canada"
"Hilarionite","Hilarionite","Greece"
"Hilgardite","Hilgardite","United Kingdom"
"Hillebrandite","Hillebrandite","Mexico"
"Hillesheimite","Hillesheimite","Germany"
"Hillite","Hillite","Australia"
"Hingganite-(Ce)","Hingganite-(Ce)","Japan"
"Hingganite-(Nd)","Hingganite-(Nd)","Pakistan"
"Hingganite-(Y)","Hingganite-(Y)","China"
"Hingganite-(Yb)","Hingganite-(Yb)","Russia"
"Hinsdalite","Hinsdalite","USA"
"Hiortdahlite","Hiortdahlite","Norway"
"Hiroseite","Hiroseite","China (meteorite)"
"Hisingerite","Hisingerite","Sweden"
"Hitachiite","Hitachiite","Japan"
"Hizenite-(Y)","Hizenite-(Y)","Japan"
"Hjalmarite","Hjalmarite","Sweden"
"Hloušekite","Hlousekite","Czech Republic"
"Hocartite","Hocartite","Bolivia / France"
"Hochelagaite","Hochelagaite","Canada"
"Hochleitnerite","Hochleitnerite","Germany"
"Hodgesmithite","Hodgesmithite","Australia"
"Hodgkinsonite","Hodgkinsonite","USA"
"Hodrušite","Hodrusite","Slovakia"
"Hoelite","Hoelite","Norway"
"Hoganite","Hoganite","Australia"
"Hogarthite","Hogarthite","Canada"
"Høgtuvaite","Hogtuvaite","Norway"
"Hohmannite","Hohmannite","Chile"
"Hokkaidoite","Hokkaidoite","Japan"
"Holdawayite","Holdawayite","Namibia"
"Holdenite","Holdenite","USA"
"Holfertite","Holfertite","USA"
"Hollandite","Hollandite","India"
"Hollingworthite","Hollingworthite","South Africa"
"Hollisterite","Hollisterite","Russia (meteorite)"
"Holmquistite","Holmquistite","Sweden"
"Holtedahlite","Holtedahlite","Norway"
"Holtite","Holtite","Australia"
"Holtstamite","Holtstamite","South Africa"
"Holubite","Holubite","Czech Republic"
"Homilite","Homilite","Norway"
"Honeaite","Honeaite","Australia"
"Honessite","Honessite","USA"
"Hongheite","Hongheite","China"
"Hongshiite","Hongshiite","China"
"Honzaite","Honzaite","Czech Republic"
"Hopeite","Hopeite","Belgium"
"Horákite","Horakite","Czech Republic"
"Hörnesite","Hornesite","Romania"
"Horomanite","Horomanite","Japan"
"Horváthite-(Y)","Horvathite-(Y)","Canada"
"Höslite","Hoslite","Czech Republic"
"Hotsonite","Hotsonite","South Africa"
"Housleyite","Housleyite","USA"
"Howardevansite","Howardevansite","El Salvador"
"Howieite","Howieite","USA"
"Howlite","Howlite","Canada"
"Hrabákite","Hrabakite","Czech Republic"
"Hsianghualite","Hsianghualite","China"
"Huanghoite-(Ce)","Huanghoite-(Ce)","China"
"Huangite","Huangite","Chile"
"Huanzalaite","Huanzalaite","Peru"
"Hubeite","Hubeite","China"
"Hübnerite","Hubnerite","USA"
"Huemulite","Huemulite","Argentina"
"Huenite","Huenite","Chile"
"Hügelite","Hugelite","Germany"
"Hughesite","Hughesite","USA"
"Huizingite-(Al)","Huizingite-(Al)","USA"
"Hulsite","Hulsite","USA"
"Humberstonite","Humberstonite","Chile"
"Humboldtine","Humboldtine","Czech Republic"
"Humite","Humite","Italy"
"Hummerite","Hummerite","USA"
"Hunchunite","Hunchunite","China"
"Hundholmenite-(Y)","Hundholmenite-(Y)","Norway"
"Hungchaoite","Hungchaoite","China"
"Huntite","Huntite","USA"
"Hureaulite","Hureaulite","France"
"Hurlbutite","Hurlbutite","USA"
"Hutcheonite","Hutcheonite","Mexico (meteorite)"
"Hutchinsonite","Hutchinsonite","Switzerland"
"Huttonite","Huttonite","New Zealand"
"Hyalotekite","Hyalotekite","Sweden"
"Hydrobasaluminite","Hydrobasaluminite","United Kingdom"
"Hydrobiotite","Hydrobiotite","Czech Republic"
"Hydroboracite","Hydroboracite","Kazakhstan"
"Hydrocalumite","Hydrocalumite","United Kingdom"
"Hydrocerussite","Hydrocerussite","Sweden"
"Hydrochlorborite","Hydrochlorborite","China"
"Hydrodelhayelite","Hydrodelhayelite","Russia"
"Hydrodresserite","Hydrodresserite","Canada"
"Hydroglauberite","Hydroglauberite","Uzbekistan"
"Hydrohalite","Hydrohalite","Austria"
"Hydrohalloysite","Hydrohalloysite","Algeria / Poland"
"Hydrohonessite","Hydrohonessite","Australia"
"Hydrokenoelsmoreite","Hydrokenoelsmoreite","Australia"
"Hydrokenomicrolite","Hydrokenomicrolite","Brazil"
"Hydrokenopyrochlore","Hydrokenopyrochlore","Madagascar"
"Hydrokenoralstonite","Hydrokenoralstonite","Denmark (Greenland)"
"Hydromagnesite","Hydromagnesite","USA"
"Hydrombobomkulite","Hydrombobomkulite","South Africa"
"Hydroniumjarosite","Hydroniumjarosite","Poland"
"Hydroniumpharmacoalumite","Hydroniumpharmacoalumite","Spain"
"Hydroniumpharmacosiderite","Hydroniumpharmacosiderite","United Kingdom"
"Hydronováčekite","Hydronovacekite","Germany"
"Hydropascoite","Hydropascoite","USA"
"Hydroplumboelsmoreite","Hydroplumboelsmoreite","China"
"Hydropyrochlore","Hydropyrochlore","Democratic Republic of the Congo"
"Hydroredmondite","Hydroredmondite","USA"
"Hydroromarchite","Hydroromarchite","Canada"
"Hydroscarbroite","Hydroscarbroite","United Kingdom"
"Hydrotalcite","Hydrotalcite","Norway"
"Hydroterskite","Hydroterskite","Canada"
"Hydrotungstite","Hydrotungstite","Bolivia"
"Hydrowoodwardite","Hydrowoodwardite","Germany"
"Hydroxyapophyllite-(K)","Hydroxyapophyllite-(K)","USA"
"Hydroxycalciomicrolite","Hydroxycalciomicrolite","Brazil"
"Hydroxycalciopyrochlore","Hydroxycalciopyrochlore","China"
"Hydroxycalcioroméite","Hydroxycalcioromeite","Brazil"
"Hydroxycancrinite","Hydroxycancrinite","Russia"
"Hydroxyferroroméite","Hydroxyferroromeite","France"
"Hydroxykenoelsmoreite","Hydroxykenoelsmoreite","Burundi"
"Hydroxykenomicrolite","Hydroxykenomicrolite","Russia"
"Hydroxykenopyrochlore","Hydroxykenopyrochlore","Brazil"
"Hydroxylapatite","Hydroxylapatite","Switzerland"
"Hydroxylbastnäsite-(Ce)","Hydroxylbastnasite-(Ce)","Russia"
"Hydroxylbastnäsite-(La)","Hydroxylbastnasite-(La)","Russia"
"Hydroxylbastnäsite-(Nd)","Hydroxylbastnasite-(Nd)","Montenegro"
"Hydroxylborite","Hydroxylborite","Russia"
"Hydroxylchondrodite","Hydroxylchondrodite","Russia"
"Hydroxylclinohumite","Hydroxylclinohumite","Russia"
"Hydroxyledgrewite","Hydroxyledgrewite","Russia"
"Hydroxylellestadite","Hydroxylellestadite","USA"
"Hydroxylgugiaite","Hydroxylgugiaite","Norway"
"Hydroxylhedyphane","Hydroxylhedyphane","Sweden"
"Hydroxylherderite","Hydroxylherderite","USA"
"Hydroxylpyromorphite","Hydroxylpyromorphite","USA"
"Hydroxylwagnerite","Hydroxylwagnerite","Italy"
"Hydroxymanganopyrochlore","Hydroxymanganopyrochlore","Germany"
"Hydroxymcglassonite-(K)","Hydroxymcglassonite-(K)","South Africa"
"Hydroxynatropyrochlore","Hydroxynatropyrochlore","Russia"
"Hydroxyplumbopyrochlore","Hydroxyplumbopyrochlore","Saudi Arabia"
"Hydrozincite","Hydrozincite","Austria"
"Hylbrownite","Hylbrownite","Australia"
"Hypercinnabar","Hypercinnabar","USA"
"Hyršlite","Hyrslite","Peru"
"Hyttsjöite","Hyttsjoite","Sweden"
"Ianbruceite","Ianbruceite","Namibia"
"Iangreyite","Iangreyite","USA"
"Ianthinite","Ianthinite","Democratic Republic of the Congo"
"Ice","Ice","unknown"
"Ichnusaite","Ichnusaite","Italy"
"Icosahedrite","Icosahedrite","Russia (meteorite)"
"Idaite","Idaite","Namibia"
"Idrialite","Idrialite","Slovenia"
"Igelströmite","Igelstromite","Sweden"
"Iimoriite-(Y)","Iimoriite-(Y)","Japan"
"Ikaite","Ikaite","Denmark (Greenland)"
"Ikorskyite","Ikorskyite","Russia"
"Ikranite","Ikranite","Russia"
"Ikunolite","Ikunolite","Japan"
"Ilesite","Ilesite","USA"
"Ilímaussite-(Ce)","Ilimaussite-(Ce)","Denmark (Greenland)"
"Ilinskite","Ilinskite","Russia"
"Ilirneyite","Ilirneyite","Russia"
"Illoqite-(Ce)","Illoqite-(Ce)","Denmark (Greenland)"
"Ilmajokite-(Ce)","Ilmajokite-(Ce)","Russia"
"Ilmenite","Ilmenite","Russia"
"Ilsemannite","Ilsemannite","Austria"
"Iltisite","Iltisite","France"
"Ilvaite","Ilvaite","Italy"
"Ilyukhinite","Ilyukhinite","Russia"
"Imandrite","Imandrite","Russia"
"Imayoshiite","Imayoshiite","Japan"
"Imhofite","Imhofite","Switzerland"
"Imiterite","Imiterite","Morocco"
"Imogolite","Imogolite","Japan"
"Inaglyite","Inaglyite","Russia"
"Incomsartorite","Incomsartorite","Switzerland"
"Inderborite","Inderborite","Kazakhstan"
"Inderite","Inderite","Kazakhstan"
"Indialite","Indialite","India"
"Indigirite","Indigirite","Russia"
"Indite","Indite","Russia"
"Indium","Indium","Russia"
"Inesite","Inesite","Germany"
"Ingersonite","Ingersonite","Sweden"
"Ingodite","Ingodite","Russia"
"Innelite","Innelite","Russia"
"Innsbruckite","Innsbruckite","Austria"
"Insizwaite","Insizwaite","South Africa"
"Interliveingite","Interliveingite","Switzerland"
"Intersilite","Intersilite","Russia"
"Inyoite","Inyoite","USA"
"Iodargyrite","Iodargyrite","Mexico"
"Iowaite","Iowaite","USA"
"Iquiqueite","Iquiqueite","Chile"
"Iranite","Iranite","Iran"
"Iraqite-(La)","Iraqite-(La)","Iraq"
"Irarsite","Irarsite","South Africa"
"Irhtemite","Irhtemite","Morocco"
"Iridarsenite","Iridarsenite","Papua New Guinea"
"Iridium","Iridium","Canada"
"Iriginite","Iriginite","Russia"
"Irinarassite","Irinarassite","Russia"
"Iron","Iron","unknown"
"Irtyshite","Irtyshite","Kazakhstan"
"Iseite","Iseite","Japan"
"Ishiharaite","Ishiharaite","Argentina"
"Ishikawaite","Ishikawaite","Japan"
"Iskandarovite","Iskandarovite","Tajikistan"
"Isoclasite","Isoclasite","Czech Republic"
"Isocubanite","Isocubanite","Pacific Ocean"
"Isoferroplatinum","Isoferroplatinum","Canada"
"Isokite","Isokite","Zambia"
"Isolueshite","Isolueshite","Russia"
"Isomertieite","Isomertieite","Brazil"
"Isovite","Isovite","Russia"
"Isselite","Isselite","Italy"
"Itelmenite","Itelmenite","Russia"
"Itoigawaite","Itoigawaite","Japan"
"Itoite","Itoite","Namibia"
"Itsiite","Itsiite","Canada"
"Ivanyukite-Cu","Ivanyukite-Cu","Russia"
"Ivanyukite-K","Ivanyukite-K","Russia"
"Ivanyukite-Na","Ivanyukite-Na","Russia"
"Ivsite","Ivsite","Russia"
"Iwashiroite-(Y)","Iwashiroite-(Y)","Japan"
"Iwateite","Iwateite","Japan"
"Ixiolite-(Fe<sup>2+</sup>)","Ixiolite-(Fe2+)","Finland"
"Ixiolite-(Mn<sup>2+</sup>)","Ixiolite-(Mn2+)","Finland"
"Iyoite","Iyoite","Japan"
"Izoklakeite","Izoklakeite","Canada"
"Jáchymovite","Jachymovite","Czech Republic"
"Jacobsite","Jacobsite","Sweden"
"Jacquesdietrichite","Jacquesdietrichite","Morocco"
"Jacutingaite","Jacutingaite","Brazil"
"Jadarite","Jadarite","Serbia"
"Jadeite","Jadeite","Myanmar"
"Jaffeite","Jaffeite","Namibia"
"Jagoite","Jagoite","Sweden"
"Jagowerite","Jagowerite","Canada"
"Jagüéite","Jagueite","Argentina"
"Jahnsite-(CaFeMg)","Jahnsite-(CaFeMg)","Australia"
"Jahnsite-(CaMnFe)","Jahnsite-(CaMnFe)","USA"
"Jahnsite-(CaMnMg)","Jahnsite-(CaMnMg)","USA"
"Jahnsite-(CaMnMn)","Jahnsite-(CaMnMn)","Portugal"
"Jahnsite-(CaMnZn)","Jahnsite-(CaMnZn)","Germany"
"Jahnsite-(MnMnFe)","Jahnsite-(MnMnFe)","Italy"
"Jahnsite-(MnMnMg)","Jahnsite-(MnMnMg)","Brazil"
"Jahnsite-(MnMnMn)","Jahnsite-(MnMnMn)","USA"
"Jahnsite-(MnMnZn)","Jahnsite-(MnMnZn)","Portugal"
"Jahnsite-(NaFeMg)","Jahnsite-(NaFeMg)","USA"
"Jahnsite-(NaMnMg)","Jahnsite-(NaMnMg)","Brazil / Australia"
"Jahnsite-(NaMnMn)","Jahnsite-(NaMnMn)","Australia"
"Jaipurite","Jaipurite","India"
"Jakobssonite","Jakobssonite","Iceland"
"Jalpaite","Jalpaite","Mexico"
"Jamborite","Jamborite","Italy"
"Jamesite","Jamesite","Namibia"
"Jamesonite","Jamesonite","United Kingdom"
"Janchevite","Janchevite","Namibia"
"Janggunite","Janggunite","South Korea"
"Janhaugite","Janhaugite","Norway"
"Jankovićite","Jankovicite","North Macedonia"
"Jarandolite","Jarandolite","Serbia"
"Jarlite","Jarlite","Denmark (Greenland)"
"Jarosewichite","Jarosewichite","USA"
"Jarosite","Jarosite","Spain"
"Jaskólskiite","Jaskolskiite","Sweden"
"Jasmundite","Jasmundite","Germany"
"Jasonsmithite","Jasonsmithite","USA"
"Jasrouxite","Jasrouxite","France"
"Jaszczakite","Jaszczakite","Hungary"
"Javorieite","Javorieite","Slovakia"
"Jeanbandyite","Jeanbandyite","Bolivia"
"Jeankempite","Jeankempite","USA"
"Jedwabite","Jedwabite","Russia"
"Jeffbenite","Jeffbenite","Brazil"
"Jeffreyite","Jeffreyite","Canada"
"Jennite","Jennite","USA"
"Jensenite","Jensenite","USA"
"Jentschite","Jentschite","Switzerland"
"Jeppeite","Jeppeite","Australia"
"Jeremejevite","Jeremejevite","Russia"
"Jerrygibbsite","Jerrygibbsite","USA"
"Jervisite","Jervisite","Italy"
"Ježekite","Jezekite","Czech Republic"
"Jianmuite","Jianmuite","China"
"Jianshuiite","Jianshuiite","China"
"Jimboite","Jimboite","Japan"
"Jimkrieghite","Jimkrieghite","USA"
"Jimthompsonite","Jimthompsonite","USA"
"Jingsuiite","Jingsuiite","China"
"Jingwenite-(Y)","Jingwenite-(Y)","China"
"Jinshajiangite","Jinshajiangite","China"
"Joanneumite","Joanneumite","Chile"
"Joaquinite-(Ce)","Joaquinite-(Ce)","USA"
"Joegoldsteinite","Joegoldsteinite","USA"
"Joëlbruggerite","Joelbruggerite","USA"
"Joesmithite","Joesmithite","Sweden"
"Johachidolite","Johachidolite","North Korea"
"Johanngeorgenstadtite","Johanngeorgenstadtite","Germany"
"Johannite","Johannite","Czech Republic"
"Johannsenite","Johannsenite","Italy / USA"
"Johillerite","Johillerite","Namibia"
"Johnbaumite","Johnbaumite","USA"
"Johninnesite","Johninnesite","Namibia"
"Johnkoivulaite","Johnkoivulaite","Myanmar"
"Johnsenite-(Ce)","Johnsenite-(Ce)","Canada"
"Johnsomervilleite","Johnsomervilleite","United Kingdom"
"Johntomaite","Johntomaite","Australia"
"Johnwalkite","Johnwalkite","USA"
"Jôkokuite","Jokokuite","Japan"
"Joliotite","Joliotite","Germany"
"Jolliffeite","Jolliffeite","Canada"
"Jonassonite","Jonassonite","Hungary"
"Jonesite","Jonesite","USA"
"Joosteite","Joosteite","Namibia"
"Jordanite","Jordanite","Switzerland"
"Jordisite","Jordisite","Germany"
"Jørgensenite","Jorgensenite","Denmark (Greenland)"
"Jörgkellerite","Jorgkellerite","Tanzania"
"Joséite-A","Joseite-A","Brazil"
"Joséite-B","Joseite-B","Canada"
"Joteite","Joteite","Chile"
"Jouravskite","Jouravskite","Morocco"
"Juabite","Juabite","USA"
"Juangodoyite","Juangodoyite","Chile"
"Juanitaite","Juanitaite","USA"
"Juanite","Juanite","USA"
"Juansilvaite","Juansilvaite","Chile"
"Julgoldite-(Fe<sup>2+</sup>)","Julgoldite-(Fe2+)","Sweden"
"Julgoldite-(Fe<sup>3+</sup>)","Julgoldite-(Fe3+)","Sweden"
"Julgoldite-(Mg)","Julgoldite-(Mg)","Japan"
"Julienite","Julienite","Democratic Republic of the Congo"
"Jungite","Jungite","Germany"
"Junitoite","Junitoite","USA"
"Junoite","Junoite","Australia"
"Juonniite","Juonniite","Russia"
"Jurbanite","Jurbanite","USA"
"Jusite","Jusite","Germany"
"Kaatialaite","Kaatialaite","Finland"
"Kabalovite","Kabalovite","Israel"
"Kadyrelite","Kadyrelite","Russia"
"Kaersutite","Kaersutite","Denmark (Greenland)"
"Kahlenbergite","Kahlenbergite","Israel"
"Kahlerite","Kahlerite","Austria"
"Kainite","Kainite","Germany"
"Kainosite-(Y)","Kainosite-(Y)","Norway"
"Kainotropite","Kainotropite","Russia"
"Kaitianite","Kaitianite","Mexico (meteorite)"
